nid_id,state_id,dam_name,Data_Source,Gaged,Basin_study,other_dam_name,status,island,county,state,latitude,longitude,basin?,stream_name,dam_purpose,private_dam_on_fed_prop,watershed,TMK,dam_type,pmf_inflow,TMK2,nearest_city,nearest_city_distance,dam_designer,year_completed,year_last_modified,size,regulated_height,volume,dam_length,dam_height,hazard,structural_height,hydraulic_height,maximum_storage,normal_storage,surface_area,drainage_area,,spillway_type,spillway_control,spillway_width,spillway_max_discharge,spillway_protection,spillway_length,spillway_wall_height,outlet_type,ogee_present,outlet_access,outlet_max_discharge,outlet_control_location,outlet_size,staff_gage_level,min_crest_width,upstream_slope_grade,upstream_protection,downstream_slope_grade,downstream_protection,waterbodytype,last_inspection_date,inspection_frequency,hazard_analysis_date,eap,eap_date,eap_createdby,OnlineEAP,OnlineEAPDate,certificate_to_impound_date,district_code,district_name,representative,party,electronic_gauge_url,top_of_crest,spillway_crest,operating_level,dam_former_name,state_reg_agency,core,foundation,nid_height,nid_storage,number_of_locks,length_of_locks,width_of_locks,fed_funding,fed_design,fed_construction,fed_regulatory,fed_inspection,fed_operation,fed_owner,fed_other,source_agency,submit_date,url_address,ConditionAssessment,ConditionAssessmentDate,ConditionAssessmentDetail,RiskAssessmentDate,operational_status,operational_status_date,EnforcementAuthority,InspectionAuthority,JurisdictionalDam,NumSeparateStructures,OtherStructureID,PermittingAuthority,RecordID,dam_type_nid,hazard_nid,spillway_type_nid,outlet_type_nid,access_surface_description,access_method_description,om_onfile,om_date,hhreport_onfile,hhreport_date,stabilityreport_onfile,stabilityreport_date,level_restriction,restriction_basis,last_nod_date,population_at_risk,parcel_count,critical_facility,school_count,realtime_gauge,DLNRAlertOnLevel,DLNRAlertOffLevel,PMF_level,Flood100yr,Owner_Type,owner
HI00012,KA-0012,KAPAIA RESERVOIR,UHSLC,Y,Y,,Active,Kauai,Kauai,HI,22.016706,-159.39604,Yes,HANAMAULU STREAM,"Irrigation, Water Supply",FALSE,Hanamaulu,(4) 3-8-002:002,Earthen,,,KAPAIA,3,,1910,,Intermediate,45,,1050,50,High,53,45,1114,1105,54.4,2.51,0.046139706,Channel,Uncontrolled,375,,Mowed Grass,375,375,Upstream Control in Tower,FALSE,Bridge,,Upstream,approx.  5'-6' diam.,37,29,19,Mowed Grass,22.5,Mowed Grass,State Regulated Dam,4/7/2022,5,6/1/2009,TRUE,5/31/2023 14:12,Kauai Grove Farm,Y,5/31/2023 14:12,,2,2nd Congressional District,Jill Tokuda,Democratic ,,50,44,39,,DLNR,X,U,53,1114,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=EE285B71-861A-4AAD-8770-A8F2026FFFF8,POOR,11/13/2020,,4/18/2018,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14752,RE,H,U,,Unpaved,4x4 (wet conditions only),1,1/1/2022,0,,1,10/26/2018,,,,36,49,2,0,FALSE,45,44,,,P,Grove Farm Company
HI00014,KA-0014,OKINAWA RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,22.006322,-159.365055,No,UNNAMED GULCH,Irrigation,FALSE,Hanamaulu,(4) 3-8-002:001,Earthen,,,KAPAIA,0.6,,1920,,Small,22,,470,25,High,29,22,142,84,14,0.78,0.055714286,2 Bay Box Culvert,Uncontrolled,36,1000,Concrete,14,4,Upstream Control in Tower,FALSE,Catwalk,150,Upstream,"32"" wide X 40"" high",0,23.5,34,Vegetation,28,Vegetation,State Regulated Dam,5/31/2023,5,6/1/2009,TRUE,5/31/2023 14:13,Kauai Grove Farm,Y,5/31/2023 14:13,,2,2nd Congressional District,Jill Tokuda,Democratic ,,250,244,,,DLNR,X,U,29,142,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=0F46B068-9C77-4F8B-AF7D-78C597C2B1D8,POOR,3/20/2023,Spillway will not pass IDF. Ponded water at the toe.,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14754,RE,H,U,,Unpaved,Car,1,1/1/2022,0,,1,10/26/2018,5,,5/30/2017,24,42,2,0,FALSE,242,241,,,P,Grove Farm Company
HI00015,KA-0015,KANEHA RESERVOIR,UHSLC,Y,Y,,Active,Kauai,Kauai,HI,22.131118,-159.371343,Yes,TR-KEALIA STREAM OFFSTREAM,Irrigation,FALSE,Kapaa,(4) 4-7-002:005,Earthen,,,KEALIA,5,,1910,,Intermediate,43,,410,46,High,51,43,420,356,14.1,0.8,0.056737589,Channel,Uncontrolled,30,2640,Concrete,30,30,Upstream Control in Tower,FALSE,Catwalk,,Upstream,4 ft by 4 ft,43,15,33.7,Mowed Grass,33.7,Mowed Grass,State Regulated Dam,4/7/2022,5,6/1/2009,TRUE,6/8/2022 5:45,Kauai Cornerstone,Y,6/8/2022 5:45,,2,2nd Congressional District,Jill Tokuda,Democratic ,,52,42.5,20,,DLNR,H,S,51,420,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=55CE4173-DC71-4806-92DB-757BC87A2C35,POOR,11/13/2020,,4/18/2023,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14755,RE,H,U,,Unpaved,4x4,0,,1,3/1/2012,1,7/20/2015,22,,5/30/2017,17,60,0,0,FALSE,30.5,30,,,P,Cornerstone Hawaii Holdings LLC
HI00016,KA-0016,MIMINO RESERVOIR,UHSLC,Y,Y,,Active,Kauai,Kauai,HI,22.114864,-159.361788,Yes,MIMINO STREAM,Irrigation,FALSE,Kapaa,(4) 4-7-002:003,Earthen,2143.7,(4) 4-7-001:001,KEALIA,4,,1920,2020,Intermediate,69,,600,68,High,68,69,70,51,4.2,0.35,0.083333333,Channel,Uncontrolled,10.5,1000,Grouted Riprap,200,4,Slide (sluice gate),FALSE,Catwalk,,Upstream Control,"2-24 to 32"" CMP to unlined tunnel",388.6,18,26.5,Bare Soil,26.5,Mowed Grass,State Regulated Dam,11/17/2021,5,6/1/2009,TRUE,11/18/2021 10:04,Kauai Cornerstone,Y,11/18/2021 10:04,,2,2nd Congressional District,Jill Tokuda,Democratic ,,40,36,26,,DLNR,X,U,69,70,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=BCE9048E-E3C9-4511-8230-4DFD7EFD9419,POOR,6/29/2022,"Undersized Spillway, steep slope, and seepage",,Enforcement Pending/Ongoing,2/14/2023,TRUE,TRUE,TRUE,,,TRUE,14756,RE,H,U,S,Unpaved,4x4,0,,1,4/1/2012,0,,26,,5/30/2017,41,43,0,0,FALSE,32,31.5,40.8,,P,Mimino Ranch LLC
HI00024,KA-0024,KALIHIWAI RESERVOIR,UHSLC,Y,Y,,Active,Kauai,Kauai,HI,22.187054,-159.432378,Yes,TR-KALIHIWAI RIVER,"Irrigation, Recreation",FALSE,Kalihiwai,(4) 5-2-022:003,Earthen,,,KALIHIWAI,2,,1920,2020,Small,20,,950,20,High,25,20,242,143.2,22,0.32,0.014545455,Channel,Uncontrolled,14,2412,Bare Soil,332,0,Slide (sluice gate),FALSE,On Dam Crest,,Upstream Control,24 in,15,15,30,Bare Soil,22,Vegetation,State Regulated Dam,12/12/2022,5,6/1/2009,TRUE,1/8/2023 7:53,Kauai Kalihiwai,Y,1/8/2023 7:53,,2,2nd Congressional District,Jill Tokuda,Democratic ,,18.6,14.2,7,,DLNR,X,U,25,242,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=731D0908-04A9-456E-8771-A76576E4DDB4,POOR,6/20/2023,Undersized spillway and does not meet slope stability,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14763,RE,H,U,S,Unpaved,4x4 (wet conditions only),1,8/20/2018,1,4/30/2022,0,,10.2,,4/28/2023,4,23,1,0,FALSE,10.5,9.5,,,P,"CG Utilities LLC, Kalihiwai Ridge Community Association, Porter Irrigation"
HI00030,KA-0030,KALOKO RESERVOIR,USGS,Y,Y,,Active,Kauai,Kauai,HI,22.178132,-159.379767,Yes,KOLOKO DITCH,"Irrigation, Other",FALSE,Kilauea,(4) 5-1-002:001,Earthen,,(4) 5-1-002:005,Kilauea,2.6,,1890,,Intermediate,44,,915,27,High,46,44,147.6,122.8,21.3,0.12,0.005633803,None Found,,,,,,,Valve,FALSE,,,Downstream Control,"16"" steel pipe transitions to 18"" HDPE Pipe",,15,26.6,Vegetation,26.6,Vegetation,State Regulated Dam,12/21/2022,5,6/1/2009,TRUE,7/20/2022 14:24,Kauai Kaloko,Y,7/20/2022 14:24,,2,2nd Congressional District,Jill Tokuda,Democratic ,http://waterdata.usgs.gov/hi/nwis/uv/?site_no=16094150&PARAmeter_cd=00065,23.64,23.64,19,,DLNR,X,U,46,147.6,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=7EF4CEB6-5CC6-43A9-82C1-F46E0C389E12,POOR,4/27/2023,"No engineered spillway, densely vegetated, no H&H or SS studies",,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14765,RE,H,N,V,Unpaved,4x4,0,,0,,0,,21,,5/30/2017,18,46,0,0,FALSE,,,,,P,"Kaloko LLC, Mary N. Lucas Trust"
HI00060,KA-0060,WAILUA RESERVOIR,UHSLC,Y,Y,,Active,Kauai,Kauai,HI,22.063402,-159.399984,Yes,WAILUA RIVER-N. FORK OFFSTREAM,Irrigation,FALSE,Wailua,(4) 4-2-001:004,Earthen,7450,"(4) 4-2-001:005, (4) 4-2-001:008",WAILUA HOMESTEADS,5,,1920,,Intermediate,30,,1080,34,High,34,30,842,340,30,0.88,0.029333333,Channel,Uncontrolled,17,,Bare Soil,315,,Upstream Control in Tower,FALSE,Two Catwalks,,Upstream,"Two 30x40"" gates, one 24"" gate",443.1,29,26.5,Ungrouted Riprap,21,Vegetation,State Regulated Dam,10/14/2021,5,6/1/2009,TRUE,9/2/2022 14:33,State DLNRLAND,Y,9/2/2022 14:33,,2,2nd Congressional District,Jill Tokuda,Democratic ,,39.9,28.9,28.9,,DLNR,X,U,34,842,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=5D03EFD2-5AEB-4FD7-9940-69FAC205A906,FAIR,2/10/2023,"Further action needed for ponding water, but no existing dam deficiencies are recognized for normal loading conditions.",,Normal Operations,5/22/2023,TRUE,TRUE,TRUE,,,TRUE,14780,RE,H,U,,Paved,Car,1,7/1/2016,1,8/26/2010,1,8/26/2010,,,,17,71,0,0,FALSE,30.5,29.5,36,,S,Hawaii Dept of Land & Natural Resources
HI00061,KA-0061,LOWER KAPAHI RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,22.101591,-159.352819,No,TR-KAPAA STREAM OFFSTREAM,Other,FALSE,Kapaa,(4) 4-6-006:007,Earthen,,"(4) 4-6-008:999, (4) 4-6-032:022",KAWAIHAU,1,,1920,,Small,21,,650,20,High,24,21,194,144,,0.38,#DIV/0!,,,0,,,0,0,Unknown,FALSE,Unknown,,,,0,27,25,Vegetation,29,Vegetation,State Regulated Dam,10/14/2021,5,6/1/2009,TRUE,9/2/2022 14:40,State DLNRLAND,Y,9/2/2022 14:40,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,24,194,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=92BB7FFB-21C4-4773-96F8-D68F83606EE1,UNSATISFACTORY,4/11/2023,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14781,RE,H,N,,Paved,Car,0,,0,,0,,0,,10/17/2016,34,77,0,0,FALSE,,,,,L,"County of Kauai - Department of Public Works, Hawaii Dept of Land & Natural Resources"
HI00062,KA-0062,TWIN RESERVOIRS,NA,N,N,Smaller TWIN Reservoir,Active,Kauai,Kauai,HI,22.082227,-159.348859,No,TR-WAIKAEA CANAL OFFSTREAM,Other,FALSE,Waikaea,(4) 4-3-003:004,Earthen,,"(4) 4-3-003:014, (4) 4-3-011:001, (4) 4-3-003:015, (4) 4-3-003:999",WAILUA,2,,1920,,Small,38,,1810,48.5,High,49,38,520,162,16,0.49,0.030625,Tunnel,Uncontrolled,8,1800,Bare Soil,8,8,Upstream Control in Tower,FALSE,Bridge,,Upstream,24,0,0,24,Vegetation,28,Bare Soil,State Regulated Dam,10/14/2021,5,6/1/2009,TRUE,7/18/2022 16:04,Kauai Twin,Y,7/18/2022 16:04,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,49,520,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=BDFEBA21-F312-45F0-80C0-FB7A6D90B704,UNSATISFACTORY,4/11/2023,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14782,RE,H,U,,Paved,Car,0,,0,,0,,0,,8/5/2016,5,26,1,0,FALSE,,,,,L,"County of Kauai - Department of Public Works, Green Aloha Real Estate, LLC, Kapaa 382, Kulana Home Owners Association, Leonard Kaui, Meghan Ornellas, Troy & Renee Johnston, Twin Lakes, Waipouli Manoa, LLC"
HI00063,KA-0063,AAHOAKA RESERVOIR,NA,N,Y,,Active,Kauai,Kauai,HI,22.040388,-159.402379,Yes,TR-WAILUA RIVER SOUTH FORK,Irrigation,FALSE,Wailua,(4) 3-9-002:001,Earthen,,,WAILUA,4,,1910,,Small,36,,550,36,High,38,36,210,164,5.9,0.74,0.125423729,Channel,Uncontrolled,25,,Bare Soil,120,4,Other Controlled,FALSE,walk,,Upstream Control,,,27,40,Vegetation,70,Vegetation,State Regulated Dam,6/30/2021,5,6/1/2009,TRUE,8/11/2023 10:53,State DOA ADC,Y,8/11/2023 10:53,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,38,210,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=F471100E-6DD9-4371-9373-6EFB7F13D2CD,POOR,3/20/2023,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14783,RE,H,U,O,Unpaved,4x4,0,,0,,0,,426.8,,6/14/2017,1,22,0,0,FALSE,,,,,S,Agribusiness Development Corporation (ADC)
HI00065,KA-0065,UPPER ANAHOLA RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,22.129966,-159.31591,No,KAMALOMALOO STREAM,Irrigation,FALSE,Anahola,(4) 4-7-004:002,Earthen,,,Anahola,0.9,,1920,,Small,24,,450,27,Low,30,24,110,83,2.5,0.41,0.164,Pipe,Uncontrolled,21,,Grouted Riprap,49,4,Uncontrolled,FALSE,Walk,,Upstream,,0,13.5,73,Vegetation,76,Vegetation,State Regulated Dam,10/13/2021,5,6/1/2009,TRUE,8/30/2022 15:28,State DHHL,Y,8/30/2022 15:28,,2,2nd Congressional District,Jill Tokuda,Democratic ,,259,,0,,DLNR,X,U,30,110,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=44034EF0-9177-46B3-9CEA-0A7A342F848E,UNSATISFACTORY,4/11/2023,,,"Under Investigation, Planning, Permitting, or Design for Remediation",1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14785,RE,L,U,U,Unpaved,4x4,0,,0,,0,,0,,8/5/2016,0,11,0,0,FALSE,,,,,S,Hawaii Dept of Hawaiian Home Lands
HI00067,KA-0067,FIELD 1 KEALIA RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,22.13047,-159.352188,No,KAUPAKU STREAM OFFSTREAM,Irrigation,FALSE,Anahola,(4) 4-7-002:004,Earthen,,,Anahola,2.6,,1920,,Small,25,,530,29,High,32,25,105,80,4.5,0.13,0.028888889,Channel,Uncontrolled,10,,Grouted Riprap,12,4,Uncontrolled,FALSE,,,,24,0,5,27,Vegetation,35,Vegetation,State Regulated Dam,10/13/2021,5,6/1/2009,TRUE,8/30/2022 10:54,State DHHL,Y,8/30/2022 10:54,,2,2nd Congressional District,Jill Tokuda,Democratic ,,641,636,,,DLNR,X,U,32,105,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=EE11DF59-A702-426D-B7B2-CE9D81DBB347,UNSATISFACTORY,4/11/2023,,,,,TRUE,TRUE,TRUE,,,TRUE,14787,RE,H,U,U,Unpaved,4x4,0,,0,,0,,0,,8/5/2016,4,62,0,0,FALSE,,,,,S,Hawaii Dept of Hawaiian Home Lands
HI00098,KA-0098,ALEXANDER,UHSLC,Y,Y,Alexander Reservoir,Active,Kauai,Kauai,HI,21.957129,-159.525787,Yes,WAHIAWA STREAM,Hydroelectric,FALSE,Wahiawa,(4) 2-4-009:001,Earthen,,,WAHIAWA CAMP 2,5,Joel B. Cox,1931,2017,Large,119,,600,119,High,141,119,2777,1400,37,2.86,0.077297297,Channel,Uncontrolled,390,621,Concrete,600,6,Valve,FALSE,wade through tunnel,37,Downstream Control,"2-12"" and 1-16""",1499,46,19,Ungrouted Riprap,23,Ungrouted Riprap,State Regulated Dam,2/15/2023,5,6/1/2009,TRUE,8/9/2022 13:29,Kauai McBryde,Y,8/9/2022 13:29,,2,2nd Congressional District,Jill Tokuda,Democratic ,http://waterdata.usgs.gov/hi/nwis/uv/?site_no=16051500&PARAmeter_cd=00065,106,100,75,,DLNR,I,U,141,2777,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=61625A8A-A217-4690-AE1E-DB0EB4269760,FAIR,12/1/2022,,,Normal Operations,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14817,RE,H,U,V,Gravel,4x4 (wet conditions only),1,7/24/2017,1,9/22/2008,0,,,,,5,25,2,0,FALSE,100,99,,,P,"BBCP Kauai Operating, LLC"
HI00099,KA-0099,WAITA RESERVOIR,UHSLC,Y,Y,,Active,Kauai,Kauai,HI,21.910661,-159.453101,Yes,WAIHOHONU STREAM OFFSTREAM,"Flood Control, Irrigation, Recreation",FALSE,Mahaulepu,(4) 2-8-001:001,Earthen,,,Koloa,0.2,,1906,,Intermediate,27,,3250,23,High,28,27,9900,3400,650,3.36,0.005169231,Channel,Uncontrolled,65,2000,Dumped Rock,65,65,Upstream Control in Tower,FALSE,Bridge,,Upstream,"24"" HDPE Slipline",17,13,32,Ungrouted Riprap,32,Bare Soil,State Regulated Dam,6/15/2023,5,6/1/2009,TRUE,5/31/2023 14:17,Kauai Grove Farm,Y,5/31/2023 14:17,,2,2nd Congressional District,Jill Tokuda,Democratic ,http://hawaiipacioosapplication-1672159924.us-east-1.elb.amazonaws.com/Login.aspx,27,21,15,,DLNR,X,U,28,9900,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=7B698474-B692-413B-AA03-5641D7AC1E9B,POOR,4/21/2023,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14818,RE,H,U,,Unpaved,4x4 (wet conditions only),1,1/1/2022,1,1/1/2008,1,10/26/2018,,,,1639,827,4,1,FALSE,19,17,,,P,Grove Farm Company
HI00100,KA-0100,KAPA RESERVOIR,NA,N,N,,Active,Kauai,Kauai,HI,21.914944,-159.572544,No,OFFSTREAM,Irrigation,FALSE,Wahiawa,(4) 2-1-001:027,Earthen,,,Eleele,0.1,,1901,1954,Small,23,,1780,21,High,24,23,50,26,4.12,0.0064,0.001553398,None Found,,0,,,0,0,Valve,FALSE,Walk,,Downstream Control,"18"" PVC sliplined in concrete",0,12,33.7,Fitted Riprap,28,Bare Soil,State Regulated Dam,11/2/2021,5,6/1/2009,TRUE,2/21/2023 11:31,Kauai Coffee,Y,2/21/2023 11:31,,2,2nd Congressional District,Jill Tokuda,Democratic ,,21,,6,,DLNR,X,U,24,50,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=DD5E9DD3-B282-4002-AE4A-CDE4CD147430,POOR,11/11/2022,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14819,RE,H,N,V,Unpaved,Car,1,12/1/2008,0,,0,,6,,5/30/2017,309,193,0,0,FALSE,,,,,P,"BBCP Kauai Operating, LLC, Kauai Coffee"
HI00101,KA-0101,HUKIWAI RESERVOIR,NA,N,N,KCOF Reservoir #12,Active,Kauai,Kauai,HI,21.905734,-159.559118,No,FED BY IRRIGATION DITCH,Irrigation,FALSE,Wahiawa,(4) 2-2-001:007,Earthen,,,Numila,0.5,,1910,2007,Small,35.5,,1000,35.5,High,35.5,35.5,56,50,6,0.0094,0.001566667,No Spillway,Uncontrolled,0,,,0,0,Downstream Control,FALSE,Walk,,Downstream,"14""",9,30,26,Dumped Rock,34,Vegetation / Dumped Rock,State Regulated Dam,11/1/2021,5,3/31/2015,TRUE,2/21/2023 11:13,Kauai Coffee,Y,2/21/2023 11:13,,2,2nd Congressional District,Jill Tokuda,Democratic ,,17,,12,,DLNR,X,U,35.5,56,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=9884C23B-10DC-4C98-9A02-96F516B33F3E,POOR,9/26/2022,No spillway. Unknown hydrologic. Stability.,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14820,RE,H,U,,Unpaved,4x4 (wet conditions only),0,,0,,0,,12,,5/3/2017,0,8,0,0,FALSE,,,,,P,"BBCP Kauai Operating, LLC, Kauai Coffee"
HI00102,KA-0102,IOLEAU RESERVOIR,NA,N,N,KCOF Reservoir #6,Active,Kauai,Kauai,HI,21.900026,-159.534513,No,FED BY IRRIGATION DITCH,Irrigation,FALSE,Kalaheo,(4) 2-3-010:001,Earthen,,,Kalaheo,2.5,,1902,2017,Intermediate,41,,980,48,Low,45,41,148,107,6,0.2,0.033333333,Culvert,Uncontrolled,3.5,,Concrete,3.5,3.5,Downstream Control,FALSE,Walk,,Downstream,12,30,20,26,Vegetation,31,Vegetation,State Regulated Dam,2/22/2023,5,6/1/2009,TRUE,2/17/2023 7:25,Kauai Coffee,Y,2/17/2023 7:25,,2,2nd Congressional District,Jill Tokuda,Democratic ,,41.5,37,25,,DLNR,X,U,48,148,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=0172659D-05C9-48ED-A3CB-6F1BDDC88949,POOR,11/11/2022,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14821,RE,L,U,,Unpaved,4x4 (wet conditions only),1,12/1/2008,0,,0,,25,,6/28/2017,0,4,0,0,FALSE,,,,,P,"BBCP Kauai Operating, LLC, Kauai Coffee"
HI00103,KA-0103,AEPO RESERVOIR,UHSLC,Y,Y,,Active,Kauai,Kauai,HI,21.912687,-159.493113,Yes,UNNAMED GULCH,Irrigation,FALSE,Aepo,(4) 2-6-003:001,Earthen,,,KUKUIULA,2,,1901,1954,Intermediate,69,,440,70,High,74,69,457,381,14.4,0.17,0.011805556,Channel,Uncontrolled,13,600,Bare Soil,13,13,Upstream Control in Tower,FALSE,Bridge,,Upstream,"18""",11,23.5,18.5,Vegetation,27,Vegetation,State Regulated Dam,9/7/2022,5,6/1/2009,TRUE,9/12/2022 12:01,Kauai McBryde,Y,9/12/2022 12:01,,2,2nd Congressional District,Jill Tokuda,Democratic ,,56,51,33,,DLNR,X,U,74,457,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=69208224-03C3-494A-BF96-04E4E63F640C,FAIR,11/13/2020,,4/19/2018,Normal Operations,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14822,RE,H,U,,Unpaved,4x4 (wet conditions only),1,7/24/2017,1,10/1/2018,0,,,,,55,63,0,0,FALSE,49,48,,,P,"BBCP Kauai Operating, LLC"
HI00104,KA-0104,HUINAWAI RESERVOIR,UHSLC,Y,Y,,Active,Kauai,Kauai,HI,21.921723,-159.496785,Yes,POELEELE STREAM,Irrigation,FALSE,Waikomo,(4) 2-5-010:043,Earthen,828.7,,Lawai Homesteads,0.1,,1902,,Intermediate,46.5,,335,45,High,45,46.5,196,145,8,0.27,0.03375,Channel,Uncontrolled,17,820,Grouted Riprap,100,7,Slide (sluice gate),FALSE,Walk,,Downstream Control,"18"" HDPE sliplined in 24"" concrete",497,13,17,Mowed Grass,17,Mowed Grass,State Regulated Dam,11/1/2023,5,6/1/2009,TRUE,9/8/2023 7:39,Kauai ITC,Y,9/8/2023 7:39,,2,2nd Congressional District,Jill Tokuda,Democratic ,,512,506.3,,,DLNR,X,U,46.5,196,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=77A9FE82-4168-4FA5-9971-CF377E137933,POOR,4/11/2023,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14823,RE,H,U,S,Unpaved,4x4 (wet conditions only),1,7/24/2017,1,2/1/2021,0,,,,,491,298,3,1,FALSE,28,27,513.75,510.26,P,"BBCP Kukui'ula Development, LLC"
HI00105,KA-0105,ELIMA RESERVOIR,NA,N,N,No. 5 Reservoir,Active,Kauai,Kauai,HI,21.929962,-159.531674,No,KALAHEO GULCH,Irrigation,FALSE,Kalaheo,(4) 2-4-007:020,Earthen,,,Kalaheo,0.1,,1901,2020,Small,37,,700,37,High,37,,126,91,10.1,0.24,0.023762376,Channel,Uncontrolled,45,567,Bare Soil,45,45,Upstream Control,FALSE,On Dam,18.5,Upstream,"16""",690,14,14,Vegetation,21.8,Vegetation,State Regulated Dam,6/28/2023,5,6/1/2009,TRUE,8/9/2022 13:30,Kauai McBryde,Y,8/9/2022 13:30,,2,2nd Congressional District,Jill Tokuda,Democratic ,,24,22,7,,DLNR,X,U,37,126,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=000D8762-DC25-432C-90E0-93CAA4A51E57,POOR,12/20/2022,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14824,RE,H,U,,Unpaved,4x4 (wet conditions only),1,7/24/2017,1,10/10/2006,0,,7,,5/30/2017,55,35,0,0,FALSE,,,,,P,"BBCP Kauai Operating, LLC"
HI00106,KA-0106,KUMANO RESERVOIR,NA,N,Y,Komano Reservoir,Active,Kauai,Kauai,HI,21.900293,-159.497421,Yes,LAWAI STREAM,Irrigation,FALSE,Lawai,(4) 2-6-003:001,Earthen,,,Lawai Homesteads,0.9,,1902,,Intermediate,32,,400,48,High,36,32,175,150,8,0.11,0.01375,None Found,,0,,,0,0,Downstream Control,FALSE,Walk,,Downstream,8 Inch,11.5,18.5,19,Mowed Grass,33,Dumped Rock,State Regulated Dam,10/12/2021,5,6/1/2009,TRUE,8/9/2022 13:27,Kauai McBryde,Y,8/9/2022 13:27,,2,2nd Congressional District,Jill Tokuda,Democratic ,,,,,,DLNR,X,U,48,175,0,0,0,,,,,,,,,HI,,https://dams.hawaii.gov/DamInformation.aspx?id=D7EC7E6A-32D5-4BFA-B913-C78ACE094BF3,POOR,4/13/2023,,,Enforcement Pending/Ongoing,1/6/2023,TRUE,TRUE,TRUE,,,TRUE,14825,RE,H,N,,Unpaved,4x4 (wet conditions only),1,7/24/2017,0,,0,,0,,3/6/2017,0,11,0,0,FALSE,,,,,P,"BBCP Kauai Operating, LLC"
